id,surah,ayat,juz,tema,teks_terjemah_2019,no_footnote,teks_footnote
1,1,1,1,,Dengan nama Allah Yang Maha Pengasih lagi Maha Penyayang.,,
2,1,2,1,,"Segala puji bagi Allah, Tuhan semesta alam",1,"1) Allah Swt. disebut rabb (Tuhan) seluruh alam karena Dialah yang telah menciptakan, memelihara, mendidik, mengatur, mengurus, memberi rezeki, dan sebagainya kepada semua makhluk-Nya. "
3,1,3,1,,"Yang Maha Pengasih lagi Maha Penyayang,",,
4,1,4,1,,Pemilik hari Pembalasan.,2,"2) Yaumid-dīn (hari Pembalasan) adalah hari ketika kelak manusia menerima balasan atas amal-amalnya yang baik dan yang buruk. Hari itu disebut juga yaumul-qiyāmah (hari Kiamat), yaumul-ḥisāb (hari Penghitungan), dan sebagainya."
5,1,5,1,,Hanya kepada Engkaulah kami menyembah dan hanya kepada Engkaulah kami memohon pertolongan.,,
6,1,6,1,,"Bimbinglah kami ke jalan yang lurus,",3,3) Jalan yang lurus adalah jalan hidup yang benar dan sesuai dengan ajaran Islam yang terkandung dalam Al-Qur’an dan hadis.
7,1,7,1,,"(yaitu) jalan orang-orang yang telah Engkau beri nikmat, bukan (jalan) mereka yang dimurkai dan bukan (pula jalan) orang-orang yang sesat.",,
8,2,1,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,Alif Lām Mīm.,4,"4) Dalam Al-Qur’an terdapat 29 surah yang dibuka dengan huruf Arab yang muqaṭṭa‘ah (dibaca nama hurufnya), seperti Alif lām mīm, Alif lām rā, dan sebagainya. Hanya Allah Swt. yang mengetahui makna sesungguhnya dari rangkaian huruf-huruf tersebut. Namun, dilihat dari fungsinya, ada yang berpendapat bahwa rangkaian huruf-huruf itu bertujuan untuk menarik perhatian atau untuk menunjukkan kemukjizatan Al-Qur’an."
9,2,2,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,"Kitab (Al-Qur’an) ini tidak ada keraguan di dalamnya; (ia merupakan) petunjuk bagi orang-orang yang bertakwa, ",,
10,2,3,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,"(yaitu) orang-orang yang beriman pada yang gaib, menegakkan salat, dan menginfakkan sebagian rezeki yang Kami anugerahkan kepada mereka,",,
11,2,4,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,dan mereka yang beriman pada (Al-Qur’an) yang diturunkan kepadamu (Nabi Muhammad) dan (kitab-kitab suci) yang telah diturunkan sebelum engkau dan mereka yakin akan adanya akhirat.,,
12,2,5,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,Merekalah yang mendapat petunjuk dari Tuhannya dan mereka itulah orang-orang yang beruntung.,,
13,2,6,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,"Sesungguhnya orang-orang yang kufur itu sama saja bagi mereka, apakah engkau (Nabi Muhammad) beri peringatan atau tidak engkau beri peringatan, mereka tidak akan beriman.",,
14,2,7,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,"Allah telah mengunci hati dan pendengaran mereka. Pada penglihatan mereka ada penutup, dan bagi mereka azab yang sangat berat.",5,5) Allah Swt. telah mengunci hati dan telinga orang kafir sehingga nasihat atau hidayah tidak bisa masuk ke dalam hatinya.
15,2,8,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,"Di antara manusia ada yang berkata, “Kami beriman kepada Allah dan hari Akhir,” padahal sesungguhnya mereka itu bukanlah orang-orang mukmin.",,
16,2,9,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,"Mereka menipu Allah dan orang-orang yang beriman, padahal mereka hanyalah menipu diri sendiri tanpa mereka sadari.",,
17,2,10,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,"Dalam hati mereka ada penyakit, lalu Allah menambah penyakitnya dan mereka mendapat azab yang sangat pedih karena mereka selalu berdusta.",6,"6) Penyakit hati yang dimaksud adalah keraguan tentang kebenaran agama Islam, kemunafikan, atau kebencian terhadap kenabian Rasulullah saw."
18,2,11,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,"Apabila dikatakan kepada mereka, “Janganlah berbuat kerusakan di bumi,” mereka menjawab, “Sesungguhnya kami hanyalah orang-orang yang melakukan perbaikan.”",7,"7) Di antara bentuk kerusakan di atas bumi adalah kekufuran, kemaksiatan, menyebarkan rahasia orang mukmin, dan memberikan loyalitas kepada orang kafir. Melanggar nilai-nilai yang ditetapkan agama akan mengakibatkan alam ini rusak, bahkan hancur."
19,2,12,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,"Ingatlah, sesungguhnya merekalah yang berbuat kerusakan, tetapi mereka tidak menyadari.",,
20,2,13,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,"Apabila dikatakan kepada mereka, “Berimanlah kamu sebagaimana orang lain telah beriman,” mereka menjawab, “Apakah kami akan beriman seperti orang-orang yang picik akalnya itu beriman?” Ingatlah, sesungguhnya mereka itulah orang-orang yang picik akalnya, tetapi mereka tidak tahu.",,
21,2,14,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,"Apabila mereka berjumpa dengan orang yang beriman, mereka berkata, “Kami telah beriman.” Akan tetapi apabila mereka menyendiri dengan setan-setan (para pemimpin) mereka, mereka berkata, “Sesungguhnya kami bersama kamu, kami hanya pengolok-olok.”",,
22,2,15,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,Allah akan memperolok-olokkan dan membiarkan mereka terombang-ambing dalam kesesatan.,,
23,2,16,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,"Mereka itulah orang-orang yang membeli kesesatan dengan petunjuk. Maka, tidaklah beruntung perniagaannya dan mereka bukanlah orang-orang yang mendapatkan petunjuk.",,
24,2,17,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,"Perumpamaan mereka seperti orang yang menyalakan api. Setelah (api itu) menerangi sekelilingnya, Allah melenyapkan cahaya (yang menyinari) mereka dan membiarkan mereka dalam kegelapan, tidak dapat melihat.",,
25,2,18,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,"(Mereka) tuli, bisu, lagi buta, sehingga mereka tidak dapat kembali.",,
26,2,19,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,"Atau, seperti (orang yang ditimpa) hujan lebat dari langit yang disertai berbagai kegelapan, petir, dan kilat. Mereka menyumbat telinga dengan jari-jarinya (untuk menghindari) suara petir itu karena takut mati. Allah meliputi orang-orang yang kafir.",8,8) Maksudnya adalah bahwa pengetahuan dan kekuasaan Allah Swt. meliputi orang-orang kafir.
27,2,20,1,Tiga Golongan Manusia dalam Menyikapi Kebenaran Al-Qur’an,"Hampir saja kilat itu menyambar penglihatan mereka. Setiap kali (kilat itu) menyinari, mereka berjalan di bawah (sinar) itu. Apabila gelap menerpa mereka, mereka berdiri (tidak bergerak). Sekiranya Allah menghendaki, niscaya Dia menghilangkan pendengaran dan penglihatan mereka. Sesungguhnya Allah Maha Kuasa atas segala sesuatu.",,
28,2,21,1,Perintah Beribadah kepada Allah,"Wahai manusia, sembahlah Tuhanmu yang telah menciptakan kamu dan orang-orang yang sebelum kamu agar kamu bertakwa.",,
29,2,22,1,Perintah Beribadah kepada Allah,"(Dialah) yang menjadikan bagimu bumi (sebagai) hamparan dan langit sebagai atap, dan Dialah yang menurunkan air (hujan) dari langit, lalu Dia menghasilkan dengan (hujan) itu buah-buahan sebagai rezeki untuk kamu. Oleh karena itu, janganlah kamu mengadakan tandingan-tandingan bagi Allah, padahal kamu mengetahui.",,
30,2,23,1,"Kemukjizatan Al-Qur’an, Satu Surah Pun Tidak Bisa Ditandingi","Jika kamu (tetap) dalam keraguan tentang apa (Al-Qur’an) yang Kami turunkan kepada hamba Kami (Nabi Muhammad), buatlah satu surah yang semisal dengannya dan ajaklah penolong-penolongmu selain Allah, jika kamu orang-orang yang benar.",,
31,2,24,1,"Kemukjizatan Al-Qur’an, Satu Surah Pun Tidak Bisa Ditandingi","Jika kamu tidak (mampu) membuat(-nya) dan (pasti) kamu tidak akan (mampu) membuat(-nya), takutlah pada api neraka yang bahan bakarnya adalah manusia dan batu yang disediakan bagi orang-orang kafir.",,
32,2,25,1,Balasan bagi Orang Mukmin yang Saleh,"Sampaikanlah kabar gembira kepada orang-orang yang beriman dan beramal saleh bahwa untuk mereka (disediakan) surga-surga yang di bawahnya mengalir sungai-sungai. Setiap kali diberi rezeki buah-buahan darinya, mereka berkata, “Inilah rezeki yang diberikan kepada kami sebelumnya.” Mereka telah diberi (buah-buahan) yang serupa dan di sana mereka (memperoleh) pasangan-pasangan yang disucikan. Mereka kekal di dalamnya.",,
33,2,26,1,Perumpamaan dalam Al-Qur’an dan Hikmahnya,"Sesungguhnya Allah tidak segan membuat perumpamaan seekor nyamuk atau yang lebih kecil daripada itu. Adapun orang-orang yang beriman mengetahui bahwa itu kebenaran dari Tuhannya. Akan tetapi, orang-orang kafir berkata, “Apa maksud Allah dengan perumpamaan ini?” Dengan (perumpamaan) itu banyak orang yang disesatkan-Nya. Dengan itu pula banyak orang yang diberi-Nya petunjuk. Namun, tidak ada yang Dia sesatkan dengan (perumpamaan) itu, selain orang-orang fasik,","9, 10, 11","9) Makhluk yang kecil yang dikira lemah, seperti nyamuk, semut, lebah, laba-laba, atau lainnya, sebenarnya banyak menyimpan hikmah untuk menjadi pelajaran bagi manusia.
10) Seseorang menjadi sesat karena keingkarannya dan tidak mau memahami petunjuk-petunjuk Allah Swt. Dalam ayat ini dijelaskan bahwa mereka ingkar dan tidak mau memahami mengapa Allah Swt. menjadikan nyamuk sebagai perumpamaan. Akibatnya, mereka menjadi sesat.
11) Orang fasik adalah orang yang melanggar ketentuan-ketentuan agama, baik dengan ucapan maupun perbuatan."
34,2,27,1,Perumpamaan dalam Al-Qur’an dan Hikmahnya,"(yaitu) orang-orang yang melanggar perjanjian Allah setelah (perjanjian) itu diteguhkan, memutuskan apa yang diperintahkan Allah untuk disambungkan (silaturahmi), dan berbuat kerusakan di bumi. Mereka itulah orang-orang yang rugi.",,
35,2,28,1,Bukti-Bukti kekuasaan Allah,"Bagaimana kamu ingkar kepada Allah, padahal kamu (tadinya) mati, lalu Dia menghidupkan kamu, kemudian Dia akan mematikan kamu, Dia akan menghidupkan kamu kembali, dan kepada-Nyalah kamu dikembalikan?",,
36,2,29,1,Bukti-Bukti kekuasaan Allah,"Dialah (Allah) yang menciptakan segala yang ada di bumi untukmu, kemudian Dia menuju ke langit, lalu Dia menyempurnakannya menjadi tujuh langit. Dia Maha Mengetahui segala sesuatu.",12,"12) Langit yang bermakna ruang di luar bumi dengan segala isinya (bulan, planet, komet, bintang, galaksi) yang jumlahnya tidak berhingga (disimbolkan dengan ungkapan tujuh langit) sesungguhnya terus berevolusi. Banyak bintang yang mati, namun banyak juga bintang yang lahir. Adapun yang dimaksud dengan menyempurnakan adalah terus berlangsungnya proses pembentukan bintang-bintang baru sejak pembentukan alam semesta."
