id,nama_latin,jumlah ayat,nama arab,kategori,terjemahan
1,Al-Fātiḥah,7,الفاتحة,Makkiyah,Pembuka
2,Al-Baqarah,286,البقرة,Madaniyah,Sapi
3,Āli ‘Imrān,200,اٰل عمرٰن,Madaniyah,Keluarga Imran
4,An-Nisā',176,النّساۤء,Madaniyah,Perempuan
5,Al-Mā'idah,120,الماۤئدة,Madaniyah,Hidangan
6,Al-An‘ām,165,الانعام,Makkiyah,Binatang Ternak
7,Al-A‘rāf,206,الاعراف,Makkiyah,Tempat Tertinggi
8,Al-Anfāl,75,الانفال,Madaniyah,Rampasan Perang
9,At-Taubah,129,التّوبة,Madaniyah,Pengampunan
10,Yūnus,109,يونس,Makkiyah,Yunus
11,Hūd,123,هود,Makkiyah,Hud
12,Yūsuf,111,يوسف,Makkiyah,Yusuf
13,Ar-Ra‘d,43,الرّعد,Makkiyah,Guruh
14,Ibrāhīm,52,ابرٰهيم,Makkiyah,Ibrahim
15,Al-Ḥijr,99,الحجر,Makkiyah,Hijr
16,An-Naḥl,128,النّحل,Makkiyah,Lebah
17,Al-Isrā',111,الاسراۤء,Makkiyah,Memperjalankan pada Malam Hari
18,Al-Kahf,110,الكهف,Makkiyah,Gua
19,Maryam,98,مريم,Makkiyah,Maryam
20,Ṭāhā,135,طٰهٰ,Makkiyah,Taha
21,Al-Anbiyā',112,الانبياۤء,Makkiyah,Para Nabi
22,Al-Ḥajj,78,الحجّ,Madaniyah,Haji
23,Al-Mu'minūn,118,المؤمنون,Makkiyah,Orang-Orang Mukmin
24,An-Nūr,64,النّور,Madaniyah,Cahaya
25,Al-Furqān,77,الفرقان,Makkiyah,Pembeda
26,Asy-Syu‘arā',227,الشّعراۤء,Makkiyah,Para Penyair
27,An-Naml,93,النّمل,Makkiyah,Semut
28,Al-Qaṣaṣ,88,القصص,Makkiyah,Kisah
29,Al-‘Ankabūt,69,العنكبوت,Makkiyah,Laba-Laba
30,Ar-Rūm,60,الرّوم,Makkiyah,Romawi
31,Luqmān,34,لقمٰن,Makkiyah,Luqman
32,As-Sajdah,30,السّجدة,Makkiyah,Sajdah
33,Al-Aḥzāb,73,الاحزاب,Madaniyah,Golongan Yang Bersekutu
34,Saba',54,سبأ,Makkiyah,Saba'
35,Fāṭir,45,فاطر,Makkiyah,Pencipta
36,Yāsīn,83,يٰسۤ,Makkiyah,Yasin
37,Aṣ-Ṣāffāt,182,الصّٰۤفّٰت,Makkiyah,Yang Berbaris-baris
38,Ṣād,88,صۤ,Makkiyah,Ṣād
39,Az-Zumar,75,الزّمر,Makkiyah,Rombongan
40,Gāfir,85,غافر,Makkiyah,Maha Pengampun
41,Fuṣṣilat,54,فصّلت,Makkiyah,Dijelaskan
42,Asy-Syūrā,53,الشّورٰى,Makkiyah,Musyawarah
43,Az-Zukhruf,89,الزّخرف,Makkiyah,Perhiasan dari Emas
44,Ad-Dukhān,59,الدّخان,Makkiyah,Kabut Asap
45,Al-Jāṡiyah,37,الجاثية,Makkiyah,Berlutut
46,Al-Aḥqāf,35,الاحقاف,Makkiyah,Ahqaf
47,Muḥammad,38,محمّد,Madaniyah,Nabi Muhammad
48,Al-Fatḥ,29,الفتح,Madaniyah,Kemenangan
49,Al-Ḥujurāt,18,الحجرٰت,Madaniyah,Kamar-Kamar
50,Qāf,45,قۤ,Makkiyah,Qaf
